SIGNIFICANT,SERIOUS,Year,Fatalities,Injuries,Explode,Ignite,CLASS,Dia,wall,SMYS,TOTAL_COST_IN84,TOTAL_COST_CURRENT,MAOP,SEAM,cause,subcause,coat,PIR,HCA,BA,CoF
YES,NO,2014,0,0,NO,YES,1,30,0.375,52000,165360.1325,333593.7038,936,DSAW,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,COAL TAR,602,NO,After,333593.7038
YES,NO,2014,0,0,NO,NO,1,NA,NA,NA,51216.84436,48160.51052,1000,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,262,NO,After,48160.51052
YES,NO,2014,0,0,NO,NO,1,8.625,0.203,52000,795008.8363,1470136.044,975,LONGITUDINAL ERW - LOW FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,COAL TAR,186,NO,After,1470136.044
YES,NO,2014,0,0,NO,NO,1,20,0.25,33000,112698.8005,227359.0015,594,FLASH WELDED,CORROSION,EXTERNAL,COAL TAR,336,NO,After,227359.0015
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,34588.44133,32486.86515,900,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,729,NO,After,32486.86515
YES,NO,2014,0,0,NO,YES,1,24,0.281,52000,374170.4043,531660.2676,877,DSAW,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,COLD APPLIED TAPE,490,NO,After,531660.2676
NO,NO,2014,0,0,NO,NO,3,NA,NA,NA,22888.35005,23894.57358,178,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,79,NO,After,23894.57358
YES,YES,2014,1,0,NO,NO,1,NA,NA,NA,4067.590674,8205.973353,800,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,235,NO,After,10008205.97
YES,NO,2014,0,0,YES,NO,2,20,0.267,80000,174031.1516,317528.3341,960,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OTHER,428,NO,After,317528.3341
YES,NO,2014,0,0,YES,YES,2,20,0.375,60000,2219572.693,4470316.245,1125,LONGITUDINAL ERW - HIGH FREQUENCY,INCORRECT OPERATION,OTHER INCORRECT OPERATION,FUSION BONDED EPOXY,463,NO,After,4470316.245
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,15872.9369,15293.68336,920,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,147,NO,After,15293.68336
YES,NO,2014,0,0,NO,NO,1,NA,NA,NA,517963.5209,1044874.51,1085,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,447,NO,After,1044874.51
NO,NO,2014,0,0,NO,NO,3,4.5,0.188,35000,45692.61505,74280.30445,704,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,FUSION BONDED EPOXY,85,YES,After,74280.30445
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,11734.47461,11021.49387,920,NA,ALL OTHER CAUSES,UNKNOWN,NA,100,NO,After,11021.49387
YES,NO,2014,0,0,NO,NO,1,NA,NA,NA,145077.0665,136262.2574,1200,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,47,NO,After,136262.2574
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,25280.69177,23744.64974,1350,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,215,NO,After,23744.64974
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,13372.58319,12560.0718,594,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,145,NO,After,12560.0718
NO,NO,2014,0,0,NO,NO,1,8,0.25,42000,48653.73447,86966.63689,1320,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,COLD APPLIED TAPE,216,NO,After,86966.63689
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,32805.0613,30811.84238,975,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,150,NO,After,30811.84238
YES,NO,2014,0,0,NO,NO,2,NA,NA,NA,52539.84238,49347.54816,1050,NA,INCORRECT OPERATION,INCORRECT VALVE POSITION,NA,252,NO,After,49347.54816
NO,NO,2014,0,0,NO,NO,3,NA,NA,NA,32240.17735,65026.54323,831,NA,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",NA,263,YES,After,65026.54323
NO,NO,2014,0,0,NO,YES,3,NA,NA,NA,5903.759426,11872.97539,400,NA,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,NA,518,YES,After,11872.97539
YES,NO,2014,0,0,NO,NO,1,10,0.25,32700,244907.7329,379880.7904,400,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,ASPHALT,188,NO,After,379880.7904
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,44316.16784,41843.64168,750,NA,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,NA,607,NO,After,41843.64168
YES,NO,2014,0,0,NO,NO,1,36,0.406,65000,210317.8539,424243.8532,1051,DSAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,FUSION BONDED EPOXY,805,NO,After,424243.8532
NO,NO,2014,0,0,NO,NO,1,16,0.25,33000,37353.51642,51595.41893,423,FLASH WELDED,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,227,NO,After,51595.41893
YES,NO,2014,0,0,NO,NO,3,20,0.344,60000,509230.1995,1027322.999,200,LONGITUDINAL ERW - HIGH FREQUENCY,CORROSION,EXTERNAL,COLD APPLIED TAPE,195,YES,After,1027322.999
NO,NO,2014,0,0,NO,NO,3,NA,NA,NA,2562.226346,2929.288434,500,NA,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,NA,46,NO,After,2929.288434
YES,NO,2014,0,0,NO,NO,1,30,0.335,52000,68781.1143,132268.9911,809,DSAW,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,COAL TAR,589,NO,After,132268.9911
NO,NO,2014,0,0,NO,NO,3,6,0.188,42000,34278.57599,65506.57663,500,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,ASPHALT,103,NO,After,65506.57663
YES,NO,2014,0,0,NO,NO,3,NA,NA,NA,3827720.207,7722057.735,0,NA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,1,NO,After,7722057.735
YES,NO,2014,0,0,NO,NO,1,3,0.216,35000,57686.90062,112065.3333,946,LONGITUDINAL ERW - HIGH FREQUENCY,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,PAINT,63,NO,After,112065.3333
YES,NO,2014,0,0,NO,NO,1,24,0.281,60000,88846.51096,156627.6728,500,DSAW,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",COAL TAR,370,YES,After,156627.6728
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,24693.38004,23193.02277,1350,NA,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,NA,215,NO,After,23193.02277
YES,NO,2014,0,0,NO,NO,1,NA,NA,NA,50788.39993,47739.93977,731,NA,INCORRECT OPERATION,INCORRECT VALVE POSITION,NA,373,NO,After,47739.93977
NO,NO,2014,0,0,NO,NO,1,3,0.156,35000,11574.13951,18506.23046,150,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,30,NO,After,18506.23046
YES,NO,2014,0,0,NO,NO,1,4,0.188,35000,52073.43151,103888.1428,800,LONGITUDINAL ERW - LOW FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,78,NO,After,103888.1428
YES,NO,2014,0,0,NO,NO,1,22,0.25,52000,2538122.102,4788518.74,850,FLASH WELDED,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,COAL TAR,503,NO,After,4788518.74
YES,YES,2014,0,1,NO,NO,3,NA,NA,NA,696963.7362,1383153.375,400,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,165,YES,After,4593153.375
NO,NO,2014,0,0,NO,YES,1,NA,NA,NA,41944.59748,75393.15643,760,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,418,NO,After,75393.15643
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,15521.74623,15128.90717,800,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,469,NO,After,15128.90717
YES,NO,2014,0,0,NO,NO,1,8.625,0.188,42000,117562.3302,130228.4603,945,LONGITUDINAL ERW - UNKNOWN FREQUENCY,CORROSION,EXTERNAL,COAL TAR,194,NO,After,130228.4603
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,8377.32049,7868.318739,960,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,681,NO,After,7868.318739
NO,NO,2014,0,0,NO,NO,1,4,0.188,35000,37805.43884,68950.65987,305,LONGITUDINAL ERW - HIGH FREQUENCY,CORROSION,INTERNAL,COAL TAR,42,NO,After,68950.65987
YES,NO,2014,0,0,NO,NO,1,26,0.25,52000,115042.8362,201465.1762,720,DSAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,481,NO,After,201465.1762
YES,NO,2014,0,0,NO,NO,1,10.75,0.5,30000,510588.9027,1029820.162,450,LONGITUDINAL ERW - LOW FREQUENCY,ALL OTHER CAUSES,UNKNOWN,NONE,157,NO,After,1029820.162
YES,NO,2014,0,0,NO,YES,1,22,0.312,30700,530015.1301,991705.1561,475,LAP WELDED,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",COAL TAR,331,NO,After,991705.1561
NO,NO,2014,0,0,NO,NO,3,NA,NA,NA,26216.82124,52889.91784,780,NA,INCORRECT OPERATION,INCORRECT VALVE POSITION,NA,579,YES,After,52889.91784
NO,NO,2014,0,0,NO,NO,3,NA,NA,NA,12698.33648,12091.8683,275,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,69,NO,After,12091.8683
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,32957.43437,30987.97261,960,NA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,NA,641,NO,After,30987.97261
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,13351.13835,12539.92995,2539,NA,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,NA,578,NO,After,12539.92995
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,33803.50757,32162.31435,1180,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,201,NO,After,32162.31435
YES,NO,2014,0,0,NO,NO,1,34,0.375,52000,574747.2165,850719.5928,757,DSAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,ASPHALT,646,NO,After,850719.5928
YES,YES,2016,0,1,NO,NO,1,12,0.25,35000,44190.14698,57063,800,LONGITUDINAL ERW - UNKNOWN FREQUENCY,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,COAL TAR,234,NO,After,3267063
YES,NO,2016,0,0,NO,NO,1,NA,NA,NA,157075.1032,148846,1480,NA,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,NA,159,NO,After,148846
YES,NO,2016,0,0,NO,NO,1,26,0.312,40000,215806.4867,242520,520,LONGITUDINAL ERW - LOW FREQUENCY,CORROSION,EXTERNAL,NONE,409,NO,After,242520
YES,NO,2016,0,0,NO,NO,1,NA,NA,NA,53038.59838,49816,960,NA,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,NA,150,NO,After,49816
YES,NO,2016,0,0,NO,NO,3,NA,NA,NA,224123.6404,451000,242,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,144,NO,After,451000
NO,NO,2016,0,0,NO,NO,1,NA,NA,NA,27948.12916,26405,1440,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,431,NO,After,26405
NO,NO,2016,0,0,NO,NO,1,12.75,0.25,52000,23589.39966,47478,938,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,285,NO,After,47478
YES,NO,2010,0,0,NO,NO,1,NA,NA,NA,111034.1742,104980.557,1000,NA,NATURAL FORCE DAMAGE,TEMPERATURE,NA,524,NO,After,104980.557
YES,NO,2010,0,0,NO,NO,2,24,0.25,52000,244805.3124,326623.0946,750,DSAW,CORROSION,EXTERNAL,COAL TAR,454,NO,After,326623.0946
NO,NO,2010,0,0,NO,NO,1,NA,NA,NA,42224.61752,80753.77304,1000,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,524,NO,After,80753.77304
YES,NO,2010,0,0,NO,NO,1,NA,NA,NA,120800.9709,113461.165,1200,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,861,NO,After,113461.165
NO,NO,2010,0,0,NO,NO,1,NA,NA,NA,6934.87055,6513.511327,1223,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,1,NO,After,6513.511327
YES,NO,2010,0,0,NO,NO,1,26,0.281,60000,550611.946,894506.5298,900,LONGITUDINAL ERW - HIGH FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",COAL TAR,538,NO,After,894506.5298
NO,NO,2010,0,0,NO,YES,1,NA,NA,NA,30076.33588,60676.11778,15,NA,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,NA,30,NO,After,60676.11778
YES,NO,2010,0,0,NO,NO,1,30,0.438,52000,54447.46426,109842.5276,845,LONGITUDINAL ERW - LOW FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",COAL TAR,602,NO,After,109842.5276
YES,NO,2010,0,0,NO,NO,1,42,1,70000,307207.4324,618858.7333,1200,DSAW,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",FUSION BONDED EPOXY,1045,NO,After,618858.7333
YES,NO,2010,0,0,YES,YES,1,NA,NA,NA,766723.5545,1542030.678,1020,NA,CORROSION,INTERNAL,NA,44,NO,After,1542030.678
NO,NO,2010,0,0,NO,NO,1,16,0.25,35000,31572.71582,53737.17424,720,OTHER,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",COAL TAR,296,NO,After,53737.17424
YES,NO,2010,0,0,NO,NO,1,16,0.344,42000,302908.6938,600095.6954,903,LONGITUDINAL ERW - UNKNOWN FREQUENCY,CORROSION,EXTERNAL,OTHER,332,NO,After,600095.6954
YES,NO,2010,0,0,NO,YES,1,26,0.25,52000,448864.9748,760827.3061,600,FLASH WELDED,CORROSION,EXTERNAL,COAL TAR,539,NO,After,760827.3061
YES,NO,2010,0,0,NO,NO,1,NA,NA,NA,140758.6627,283140.1365,1250,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,49,NO,After,283140.1365
NO,NO,2010,0,0,NO,NO,1,24,0.312,56000,49765.86061,100394.3965,1008,LONGITUDINAL ERW - LOW FREQUENCY,NATURAL FORCE DAMAGE,LIGHTNING,COAL TAR,526,NO,After,100394.3965
YES,NO,2010,0,0,NO,NO,2,12.75,0.25,42000,65393.83328,131581.2166,706,LONGITUDINAL ERW - LOW FREQUENCY,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,COAL TAR,256,NO,After,131581.2166
YES,NO,2010,0,0,NO,NO,1,26,0.281,52000,58544.10227,118072.6453,825,DSAW,CORROSION,EXTERNAL,COAL TAR,515,NO,After,118072.6453
YES,NO,2010,0,0,NO,YES,1,NA,NA,NA,263063.0944,522710.7551,960,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,75,NO,After,522710.7551
YES,NO,2010,0,0,NO,YES,2,NA,NA,NA,201095.6607,376954.9782,500,NA,NATURAL FORCE DAMAGE,LIGHTNING,NA,312,NO,After,376954.9782
NO,NO,2010,0,0,NO,NO,1,8.625,0.188,42000,6318.338437,12729.41277,827,LONGITUDINAL ERW - HIGH FREQUENCY,CORROSION,INTERNAL,COAL TAR,171,NO,After,12729.41277
YES,YES,2010,0,1,NO,YES,1,NA,NA,NA,0,0,1440,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,1,NO,After,3210000
NO,NO,2010,0,0,NO,NO,1,24,0.281,52000,31217.34033,62967.64786,878,DSAW,CORROSION,EXTERNAL,COAL TAR,491,NO,After,62967.64786
YES,NO,2014,0,0,NO,NO,1,12,0.219,42000,76205.92041,153630.7213,953,LONGITUDINAL ERW - UNKNOWN FREQUENCY,CORROSION,EXTERNAL,COAL TAR,256,NO,After,153630.7213
YES,NO,2014,0,0,NO,NO,1,24,0.25,60200,168613.0367,340154.6339,750,DSAW,CORROSION,EXTERNAL,COAL TAR,365,NO,After,340154.6339
YES,NO,2014,0,0,NO,NO,3,24,0.281,40000,103978.7435,209767.1244,300,SEAMLESS,CORROSION,EXTERNAL,ASPHALT,322,YES,After,209767.1244
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,28354.83108,26907.1331,1200,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,860,NO,After,26907.1331
NO,NO,2014,0,0,NO,NO,1,12,0.25,52000,25200.60187,32058.05412,500,LONGITUDINAL ERW - LOW FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,205,NO,After,32058.05412
NO,NO,2014,0,0,NO,NO,1,3.5,0.188,35000,24975.92588,49489.28534,1078,LONGITUDINAL ERW - LOW FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,80,NO,After,49489.28534
NO,NO,2014,0,0,NO,NO,1,4,0.188,30000,37927.3104,68101.63115,175,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,37,NO,After,68101.63115
YES,NO,2014,0,0,NO,NO,2,24,0.281,60000,143716.3316,282104.0636,1000,DSAW,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,ASPHALT,523,NO,After,282104.0636
YES,NO,2014,0,0,NO,NO,1,12,0.245,35000,51882.9864,104251.2696,1110,LONGITUDINAL ERW - UNKNOWN FREQUENCY,OTHER OUTSIDE FORCE DAMAGE,MARITIME EQUIPMENT OR VESSEL ADRIFT,COAL TAR,275,NO,After,104251.2696
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,49973.29869,47212.07355,935,NA,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,NA,169,NO,After,47212.07355
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,41601.5937,39073.90193,935,NA,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,NA,238,NO,After,39073.90193
YES,NO,2014,0,0,NO,NO,1,10.75,0.25,35000,150725.1487,194053.1793,771,SEAMLESS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,242,NO,After,194053.1793
YES,NO,2013,0,0,NO,NO,1,NA,NA,NA,82149.42858,165718.9793,935,NA,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",NA,338,NO,After,165718.9793
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,15355.57517,14532.62907,1000,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,218,NO,After,14532.62907
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,12824.97922,13916.60488,720,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,236,NO,After,13916.60488
NO,NO,2014,0,0,NO,NO,1,2,0.218,35000,17233.46792,22789.42372,720,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",PAINT,44,NO,After,22789.42372
YES,NO,2014,0,0,NO,NO,1,NA,NA,NA,393072.6103,371940.9895,803,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,650,NO,After,371940.9895
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,0,0,861,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,259,NO,After,0
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,31286.62065,29880.89036,765,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,236,NO,After,29880.89036
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,38864.91584,38979.64795,800,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,248,NO,After,38979.64795
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,11523.09757,12384.9418,1333,NA,NATURAL FORCE DAMAGE,LIGHTNING,NA,907,NO,After,12384.9418
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,29448.39989,27930.59019,1000,NA,NATURAL FORCE DAMAGE,TEMPERATURE,NA,218,NO,After,27930.59019
NO,NO,2014,0,0,NO,NO,3,NA,NA,NA,401.9176883,377.497373,1250,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,304,YES,After,377.497373
NO,NO,2014,0,0,NO,NO,1,NA,NA,NA,33693.37795,64111.19394,765,NA,CORROSION,INTERNAL,NA,236,NO,After,64111.19394
YES,NO,2014,0,0,NO,NO,1,6.625,0.188,28000,51037.29016,102962.829,400,LAP WELDED,CORROSION,EXTERNAL,ASPHALT,92,NO,After,102962.829
YES,NO,2014,0,0,NO,NO,1,NA,NA,NA,94774.35233,191198.1495,400,NA,NATURAL FORCE DAMAGE,TEMPERATURE,NA,65,NO,After,191198.1495
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,15499.02237,17271.9113,757,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,650,NO,After,17271.9113
NO,NO,2015,0,0,NO,NO,2,NA,NA,NA,35290.44076,33317.23135,935,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,169,NO,After,33317.23135
YES,NO,2015,0,0,YES,YES,1,30,0.375,52000,453601.1051,752183.6362,920,FLASH WELDED,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,COAL TAR,628,NO,After,752183.6362
YES,NO,2015,0,0,NO,NO,1,NA,NA,NA,674971.758,1360241.095,1300,NA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,NA,806,NO,After,1360241.095
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,14126.7098,13865.59044,1050,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,131,NO,After,13865.59044
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,24260.62221,23600.93959,600,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,614,NO,After,23600.93959
YES,NO,2015,0,0,NO,NO,3,NA,NA,NA,162502.5333,327084.4676,300,NA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,NA,358,YES,After,327084.4676
YES,NO,2015,0,0,NO,NO,2,NA,NA,NA,61211.66534,95496.89911,950,NA,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,42,NO,After,95496.89911
YES,NO,2015,0,0,NO,NO,1,NA,NA,NA,71232.74275,67990.51804,1480,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,27,NO,After,67990.51804
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,48319.25712,48098.0052,757,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,650,NO,After,48098.0052
YES,NO,2015,0,0,NO,NO,1,42,0.486,70000,1963163.104,2503475.139,1480,SPIRAL WELDED DSAW,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",FUSION BONDED EPOXY,1155,NO,After,2503475.139
NO,NO,2015,0,0,NO,NO,3,NA,NA,NA,49725.91698,48512.52016,700,NA,NATURAL FORCE DAMAGE,TEMPERATURE,NA,488,YES,After,48512.52016
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,32076.70844,54754.61034,1440,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,1158,NO,After,54754.61034
YES,NO,2015,0,0,NO,NO,1,20,0.375,NA,149222.3728,300982.8166,1051,LONGITUDINAL ERW - HIGH FREQUENCY,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,FUSION BONDED EPOXY,1600,NO,After,300982.8166
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,19189.95305,18023.98122,840,NA,NATURAL FORCE DAMAGE,TEMPERATURE,NA,200,NO,After,18023.98122
NO,NO,2015,0,0,NO,NO,1,NA,NA,NA,23354.14319,21935.15728,840,NA,NATURAL FORCE DAMAGE,TEMPERATURE,NA,200,NO,After,21935.15728
YES,NO,2015,0,0,NO,NO,1,NA,NA,NA,196367.3042,392118.3568,60,NA,ALL OTHER CAUSES,UNKNOWN,NA,20,NO,After,392118.3568
NO,NO,2015,0,0,NO,NO,2,NA,NA,NA,40382.24817,38212.04763,800,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,108,NO,After,38212.04763
NO,NO,2015,0,0,NO,NO,3,NA,NA,NA,27493.79681,55427.10483,215,NA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,NA,243,NO,After,55427.10483
